분류,사업장명,상세주소,위도,경도
지하철역,고속터미널,서울특별시 서초구 신반포로 지하188(반포동),37.5049926,127.004821
지하철역,교대(법원 검찰청),서울특별시 서초구 서초대로 지하294(서초동),37.4954317,127.01917
지하철역,남부터미널(예술의전당),서울특별시 서초구 서초중앙로 지하31(서초동),37.4855932,127.0159
지하철역,양재(서초구청),서울특별시 서초구 남부순환로 지하2585(서초동),37.4847608,127.033369
지하철역,남태령,서울특별시 서초구 과천대로 지하816(방배동),37.4643658,126.989254
지하철역,반포,서울특별시 서초구 신반포로 지하241(잠원동),37.5078485,127.010374
지하철역,고속터미널,서울특별시 서초구 신반포로 지하188(반포동),37.5049926,127.004821
지하철역,내방,서울특별시 서초구 서초대로 지하103(방배동),37.4875129,126.993151
버스 정류장,고속터미널,서울특별시 서초구 신반포로 200,37.50629238,127.0052834
버스 정류장,고속터미널,서울특별시 서초구 신반포로 177-2,37.50573826,127.0037926
버스 정류장,지하철2호선강남역,서울특별시 서초구 강남대로 441,37.501817,127.025438
버스 정류장,양재역,서울특별시 서초구 강남대로 220-2,37.4832966,127.0348614
버스 정류장,논현역,서울특별시 서초구 강남대로 507,37.5072265,127.0230319
버스 정류장,양재역.서초문화예술회관,서울특별시 서초구 강남대로 200,37.481927,127.036827
버스 정류장,사당역,서울특별시 서초구 과천대로 944-2,37.47492668,126.9818031
버스 정류장,양재2동주민센터.양재꽃시장,서울특별시 서초구 마방로2길 86,37.46958572,127.0394643
버스 정류장,래미안아파트.파이낸셜뉴스,서울특별시 서초구 강남대로 321-2,37.491895,127.030405
버스 정류장,양재역7번출구.프라자약국,서울특별시 서초구 강남대로 220-2,37.48372183,127.035159
버스 정류장,사당역12번출구,서울특별시 서초구 방배천로 11,37.47783426,126.9819883
버스 정류장,양재역.서초문화예술회관,서울특별시 서초구 강남대로 209-2,37.48261,127.035902
버스 정류장,이수역,서울특별시 서초구 동작대로 66,37.4823317,126.9820742
버스 정류장,AT센터.양재꽃시장,서울특별시 서초구 강남대로 45-2,37.468707,127.039655
버스 정류장,남부터미널,서울특별시 서초구 효령로 288-2,37.48467221,127.0154827
버스 정류장,신반포역.세화여중고,서울특별시 서초구 신반포로 105,37.5034152,126.9958264
버스 정류장,신반포역.세화여중고,서울특별시 서초구 신반포로 100,37.50294297,126.994451
버스 정류장,구반포역.세화고등학교,서울특별시 서초구 신반포로 38,37.50163868,126.9888988
버스 정류장,논현사거리.논현역5번출구,서울특별시 서초구 신반포로 325,37.51064806,127.0192203
버스 정류장,뱅뱅사거리,서울특별시 서초구 강남대로 275-2,37.487667,127.032432
버스 정류장,논현사거리.논현역4번출구,서울특별시 서초구 사평대로55길 149,37.51042061,127.0196824
버스 정류장,방배역1번출구,서울특별시 서초구 효령로 132,37.48140941,126.9984656
버스 정류장,이수역2번출구,서울특별시 서초구 동작대로 120-2,37.48721215,126.9825627
버스 정류장,신논현역.구교보타워사거리,서울특별시 서초구 강남대로 453,37.50288781,127.0250022
버스 정류장,반포역,서울특별시 서초구 신반포로 257,37.50834188,127.0121292
버스 정류장,양재역.양재1동민원분소,서울특별시 서초구 남부순환로 2622-2,37.48476913,127.0374188
버스 정류장,동원산업,서울특별시 서초구 논현로17길 4,37.47659509,127.0454402
버스 정류장,이수교,서울특별시 서초구 동작대로 226,37.49661979,126.9833194
버스 정류장,코트라,서울특별시 서초구 헌릉로 13,37.46463773,127.044576
버스 정류장,교육개발원입구,서울특별시 서초구 강남대로 148,37.477818,127.038758
버스 정류장,성촌마을입구,서울특별시 서초구 태봉로 62,37.464327,127.0246
버스 정류장,반포역,서울특별시 서초구 신반포로 241,37.50790405,127.0110399
버스 정류장,경문고등학교,서울특별시 서초구 동작대로 156,37.49043723,126.9827418
버스 정류장,서초역.서울중앙지법등기국,서울특별시 서초구 반포대로 144,37.4929154,127.0073724
버스 정류장,하나로마트.코트라,서울특별시 서초구 헌릉로 25,37.46384119,127.0444478
버스 정류장,정금마을,서울특별시 서초구 동작대로 186,37.49325229,126.9828101
버스 정류장,뉴코아아울렛,서울특별시 서초구 잠원로 51-2,37.50920911,127.0077586
버스 정류장,구반포역.세화고등학교,서울특별시 서초구 신반포로 50,37.50194516,126.9900265
버스 정류장,내방역,서울특별시 서초구 방배로 143,37.48662307,126.9940949
버스 정류장,사당역,서울특별시 서초구 동작대로 26,37.47887505,126.9820298
버스 정류장,우면주공아파트.양재1동주민센터,서울특별시 서초구 바우뫼로 27-2,37.47064737,127.0259376
버스 정류장,서초중학교,서울특별시 서초구 효령로 223,37.48360511,127.0085384
버스 정류장,교대역5번출구,서울특별시 서초구 서초대로 302,37.49379959,127.014737
버스 정류장,논현역,서울특별시 서초구 강남대로 531,37.50931936,127.0219091
버스 정류장,네이처힐5단지,서울특별시 서초구 태봉로 58,37.46324788,127.0239827
버스 정류장,남부터미널.한일시멘트,서울특별시 서초구 효령로 275,37.48473184,127.0142185
버스 정류장,서초중학교,서울특별시 서초구 효령로46길 4,37.48338792,127.0088053
버스 정류장,지하철2호선교대역2,서울특별시 서초구 서초대로 308,37.49390135,127.0152335
버스 정류장,지하철2호선방배역,서울특별시 서초구 효령로 115,37.4812652,126.996627
버스 정류장,강남역.9번출구,서울특별시 서초구 서초대로 417-2,37.49772724,127.0265475
버스 정류장,우면주공아파트.우면한라아파트,서울특별시 서초구 바우뫼로 27-2,37.4707123,127.0256889
버스 정류장,서초청소년도서관,서울특별시 서초구 사임당로 180,37.49258588,127.0289703
버스 정류장,양재역,서울특별시 서초구 강남대로 216,37.4833784,127.0355331
버스 정류장,뱅뱅사거리,서울특별시 서초구 효령로 416,37.48908585,127.0292981
버스 정류장,교대역6번출구,서울특별시 서초구 서초중앙로 138,37.49417187,127.0137374
버스 정류장,수협서초지점,서울특별시 서초구 강남대로 343,37.493517,127.029385
버스 정류장,신동아아파트앞,서울특별시 서초구 효령로 161,37.48200504,127.0018917
버스 정류장,시민의숲,서울특별시 서초구 마방로2길 12,37.473135,127.038353
